SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,7237TD-34,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,MWO-228-T3W,MWO-TERM,1M Term/RID#18258 poc 5/1/13 to 5/31/13,000-2300-00,AWR,5,1825.00,410.63,7071.85,Normal
Invoice,7237TD-34,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,ACE-100-T3W,ACE-TERM,1M Term/RID#18259 poc 5/1/13 to 5/31/13,000-2300-00,AWR,5,308.33,154.17,770.80,Normal
Invoice,7237TD-34,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,XEM-100-T3W,XEM-TERM,1M Term/RID#18260 poc 5/1/13 to 5/31/13,000-2300-00,AWR,2,1366.67,273.33,2186.68,Normal
Invoice,7237TD-34,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,APL-100-T3W,APL-TERM,1MTerm/RID#18261 poc 5/1/13 to 5/31/13,000-2300-00,AWR,1,608.33,121.62,486.71,Normal
Invoice,7237TD-34,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,WIZ-100-TFW,WIZ-TERM,1M Term/RID#18262 poc 5/1/13 to 5/31/13,000-2300-00,AWR,1,1166.67,583.33,583.34,Normal
Invoice,7237TD-34.,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,MWO-228-T3W,MWO-TERM,1M Term/RID#18258 - 5/1/13 to 5/31/13,000-2300-00,AWR,5,1825.00,410.63,7071.85,Normal
Invoice,7237TD-34.,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,ACE-100-T3W,ACE-TERM,1M Term/RID#18259 - 5/1/13 to 5/31/13,000-2300-00,AWR,5,308.33,154.17,770.80,Normal
Invoice,7237TD-34.,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,XEM-100-T3W,XEM-TERM,1M Term/RID#18260 - 5/1/13 to 5/31/13,000-2300-00,AWR,2,1366.67,273.33,2186.68,Normal
Invoice,7237TD-34.,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,APL-100-T3W,APL-TERM,1M Term/RID#18261 - 5/1/13 to 5/31/13,000-2300-00,AWR,1,608.33,121.62,486.71,Normal
Invoice,7237TD-34.,4/1/2013,,9121,"M/A-COM Technology Solutions, Inc.",US,NORTH AMERICA,WIZ-100-TFW,WIZ-TERM,1M Term/RID#18262 - 5/1/13 to 5/31/13,000-2300-00,AWR,1,1166.67,583.33,583.34,Normal
Invoice,7345TD-11,4/1/2013,,1200,API Technologies,US,NORTH AMERICA,MWO-226-TFW,MWO-TERM,3M Term/RID#18527 poc 4/1/13 to 6/30/13,000-2300-00,AWR,2,3325.00,498.75,5652.50,Normal
Invoice,7345TD-11,4/1/2013,,1200,API Technologies,US,NORTH AMERICA,MWO-246-TFW,MWO-TERM,3M Term/RID#18528 poc 4/1/13 to 6/30/13,000-2300-00,AWR,1,4900.00,735.00,4165.00,Normal
Invoice,7345TD-11,4/1/2013,,1200,API Technologies,US,NORTH AMERICA,VSS-150-TFW,VSS-TERM,3MTerm/RID#18529 poc 4/1/13 to 6/30/13,000-2300-00,AWR,1,1050.00,157.50,892.50,Normal
Invoice,7345TD-11,4/1/2013,,1200,API Technologies,US,NORTH AMERICA,FIL-100-TFW,FIL-TERM,3M Term/RID#18530 poc 4/1/13 to 6/30/13,000-2300-00,AWR,1,875.00,131.25,743.75,Normal
Invoice,7546TI(3),4/1/2013,1447,7783,NXP Semiconductors Netherlands BV,NETHERLANDS,EUROPE,MWO-226-TFW,MWO-TERM,12M Term/RID#19101 poc 2013.05.01 to 2014.04.30,000-2300-00,RES30,1,11200.00,0.00,11200.00,Normal
Invoice,7546TI(3),4/1/2013,1447,7783,NXP Semiconductors Netherlands BV,NETHERLANDS,EUROPE,WIZ-100-TFW,WIZ-TERM,12M Term/RID#19102  poc 2013.05.01 to 2014.04.30,000-2300-00,RES30,1,11760.00,0.00,11760.00,Normal
Invoice,7933TD-8,4/1/2013,,10030073,Wavestream,US,NORTH AMERICA,MWO-228-TFW,MWO-TERM,3MTerm/RID#20086 poc 5/1/13 to 7/31/13,000-2300-00,AWR,7,4200.00,746.39,24175.27,Normal
Invoice,7933TD-8,4/1/2013,,10030073,Wavestream,US,NORTH AMERICA,MWO-228-TLW,MWO-TERM,3M Term/RID#20087 poc 5/1/13 to 7/31/13,000-2300-00,AWR,2,3150.00,559.80,5180.40,Normal
Invoice,7933TD-8,4/1/2013,,10030073,Wavestream,US,NORTH AMERICA,ACE-100-TFW,ACE-TERM,3M Term/RID#20088 poc 5/1/13 to 7/31/13,000-2300-00,AWR,2,700.00,124.40,1151.20,Normal
