custid|custname|city|country|territory|type|status|parentid|pname
------|--------|----|-------|---------|----|------|--------|-----
1|AWR - Internal|CA|US|AWR-SW|Enterprise|On Maintenance|1|AWR
10000|Inside Contactless|CEDEX|FR|AWR-FR|Enterprise|Ex-Customer|10000|Inside Contactless
10000003|MMRadiolink Ltd.|Manchester|GB|AWR-UK|Enterprise|Out of Business|10000003|MMRadiolink Ltd.
10000010|Schleifring und Apparatebau GmbH|Fuerstenfeldbruck|DE|AWR-DE|Enterprise|Ex-Customer|10000010|Schleifring und Apparatebau GmbH
10000021|Microwave Solutions Ltd. - Hemel Hempstead|Hertfordshire|GB|AWR-UK|Enterprise|On Maintenance|10000021|Microwave Solutions Ltd.
10000029|University of Florida - Department of Electrical and Computer Engineering|FL|US|Default Value|University|On Maintenance|10000029|University of Florida
10000029|University of Florida - Department of Electrical and Computer Engineering|FL|US|AWR|University|On Maintenance|10000029|University of Florida
10001|University of Texas at Brownsville - Department of Engineering|TX|US|Default Value|University|On Maintenance|10001|University of Texas at Brownsville
10001|University of Texas at Brownsville - Department of Engineering|TX|US|AWR|University|On Maintenance|10001|University of Texas at Brownsville
10002|Rohde & Schwarz India|Bangalore|IN|RSI|Rep|On Maintenance|10002|Rohde & Schwarz India
10003|Teledyne Defence Limited - Shipley|West Yorkshire|GB|AWR-UK|Regional Office|On Maintenance|9047|Teledyne Technologies Incorporated
10004|Fujitsu Ltd. - Monozukuri Development Unit (mar-10)|Kanagawa|JP|AWR-JP|Regional Office|Off Maintenance|10040049|Fujitsu
10005|Linkra s.r.l - Concorezzo|Milan|IT|MED|Regional Office|Off Maintenance|2400|Linkra s.r.l.
10006|Continental Automotive Romania SRL - SV I BS (Interior Body and Security)|Timisoara|RO|AWR-EU|Site|On Maintenance|9419|Continental AG
10007|Ericsson AB - GSvle |GSvle|SE|AWR-SC|Site|On Maintenance|1050|LM Ericsson
10008|Hacettepe University - Department of Electrical and Electronics Engineering|Ankara|TR|Default Value|University|On Maintenance|10008|Hacettepe University
10008|Hacettepe University - Department of Electrical and Electronics Engineering|Ankara|TR|AWR|University|On Maintenance|10008|Hacettepe University
10009|Sirio Microelettronica Srl|Roma|IT|MED|Enterprise|Off Maintenance|10009|Sirio Microelettronica Srl
10010|University of Bath|Avon|GB|AWR-NI|University|On Maintenance|10010|University of Bath
10010005|Siemens AG - Munich|Munich|DE|AWR-DE|Enterprise|No Service/Support|10010005|Siemens AG
10010006|GEMALTO M2M GmbH|Berlin|DE|AWR-DE|Regional Office|Off Maintenance|10010005|Siemens AG
10010007|Siemens - Medical Equipment|Erlangen|DE|AWR-DE|Regional Office|On Maintenance|10010005|Siemens AG
10010008|Nokia Solutions and Networks (NSN) GmbH & Co. Kg (dec-09)|Muenchen|DE|AWR-DE|Regional Office|Off Maintenance|9306|Nokia Solutions and Networks (NSN)
10010018|Nextcomm, Inc (jan-04)|WA|US|AWR-NW|Enterprise|Off Maintenance|10010018|Nextcomm, Inc (jan-04)
10010019|CTS RF Intergrated Modules (jan-04)|IN|US|AWR-NE|Regional Office|Off Maintenance|10020001|CTS Corporation
10010020|Millitech, LLC|MA|US|AWR-NE|Regional Office|Ex-Customer|10060048|Smiths Group Plc
10010021|Mercury Systems, Inc. - West Caldwell|NJ|US|AWR-NE|Regional Office|Off Maintenance|3597|Mercury Systems, Inc.
10010023|Advanced Connectek Inc. (ACON) (nov-07)|Taipei|TW|AWR-TSMC|Regional Office|Off Maintenance|9178|Advanced Connectek Inc. (ACON)
10010024|Braunschweig University - Institute for High-Frequency Technology|Braunschweig|DE|AWR-NI|University|On Maintenance|10010024|Braunschweig University
10010025|TRAK Microwave Ltd.|Angus|GB|AWR-UK|Regional Office|Ex-Customer|10060048|Smiths Group Plc
10010026|Epic Communications, Inc.|CA|US|AWR-NW|Enterprise|On Maintenance|10010026|Epic Communications, Inc.
10010027|Tyco Electronics (M/A-Com) - Telford Design Center|PA|US|AWR-NE|Regional Office|Out of Business|9286|Cobham Plc
10010028|Dynex Semiconductor|missing|GB|AWR-UK|Enterprise|Ex-Customer|10010028|Dynex Semiconductor
10010029|Sanyo Electric Co., Ltd. - Electronic Device Company Management Planning Office Business Development Center (sep-09)|Osaka|JP|AWR-JP|Regional Office|Off Maintenance|9484|Sanyo Electric Co., Ltd.
10010030|Toshiba Consumer Marketing Corporation|Kanagawa|JP|AWR-JP|Regional Office|On Maintenance|10040051|Toshiba
10010031|Meisei University|Tokyo|JP|NI-JP|University|On Maintenance|10010031|Meisei University
10010032|U-Blox AG (nov-07)|Thalwil|CH|WLB|Enterprise|Off Maintenance|10010032|U-Blox AG (nov-07)
10010033|Hanbat National University|Daejeon|KR|AWR-NI|University|On Maintenance|10010033|Hanbat National University
10010034|Cobham Defense Electronics - Lowell Headquarters|MA|US|AWR-NE|Regional Office|On Maintenance|9286|Cobham Plc
10010035|JDS Uniphase|PA|US|AWR-NE|Regional Office|Ex-Customer|1956|JDS Uniphase (may-06)
10010036|Air Force Research Laboratory (sep-07)|NY|US|AWR-NE|Enterprise|Ex-Customer|10010036|Air Force Research Laboratory (sep-07)
