"ID","NAME","TYPE","MAJORS__C","INDUSTRIES__C","ACCTNUMBER__C"
"0017000000LlBlWAAV","Silicon Labs","Customer","false","","6802"
"0017000000LlBoJAAV","National Instruments Corporation - TX","Enterprise","false","","6564"
"0017000000LlBtBAAV","Intel Corporation - Parent","Enterprise","false","","6251"
"0017000000LlCB6AAN","Zinwave Ltd","Customer","false","","8956"
"0017000000LlCBQAA3","Wessex Electronics Ltd","Out of Business","false","","8790"
"0017000000LlCBzAAN","Nextwave Wireless","Customer","false","","2157"
"0017000000LlCCdAAN","Airspan Communications Ltd.","Customer","false","","1499"
"0017000000LlCCnAAN","Axis Network Technology Ltd.","Ex-Customer","false","","8679"
"0017000000LlCDoAAN","Jaybeam Wireless","Out of Business","false","","8866"
"0017000000LlFVeAAN","Nokia Corporation","Customer","false","","8419"
"0017000000LlFX6AAN","Qinetiq","","false","",""
"0017000000LlFXjAAN","Thales Uk Ltd.","Customer","false","","654"
"0017000000LlFbEAAV","Roke Manor Research Ltd","Customer","false","","553"
"0017000000LlFbrAAF","Javelin Semiconductor","Prospect","false","","9289"
"0017000000LlFdIAAV","Black Sand","Prospect","false","",""
"0017000000LlFdJAAV","RF Controls","Off Maintenance","false","","9338"
"0017000000LlGUSAA3","Rohde & Schwarz Vertriebs GmbH - Munich","Customer","false","","551"
"0017000000LlH8dAAF","Alcatel-Lucent - Parent","Enterprise","false","","9021"
"0017000000LlI61AAF","Aethercomm, Inc.","Customer","false","","8747"
"0017000000LlIFOAA3","AISD","Prospect","false","","9320"
"0017000000MNJSqAAP","Tyco International","Other","false","",""
"0017000000MNJWhAAP","Tyco Electronics Ltd","Customer","false","","10010034"
"0017000000MnAbXAAV","TRAK Microwave","Customer","false","","9322"
"0017000000MxHtBAAV","Aeroflex - Wichita","Customer","true","","306"
"0017000000MxIV6AAN","Honeywell Aerospace - AZ","Customer","true","","8813"
"0017000000MxIXbAAN","Texas Instruments","Customer","false","",""
"0017000000MxIZbAAN","Infineon Technologies AG - Morgan Hill","Customer","false","","208"
"0017000000MxK81AAF","TriQuint Semiconductor - Hillsboro, OR","Enterprise","true","","665"
"0017000000MxKENAA3","REMEC Defense and Space - CA","Customer","true","","7458"
"0017000000Mxo0FAAR","Newtec Cy N.V.","Customer","false","","10060013"
"0017000000Mxo0jAAB","Syntronic AB","Customer","false","","8714"
"0017000000Mxo0oAAB","Ceragon Networks Ltd - Norway","Customer","false","","4037"
"0017000000Mxo0tAAB","Forsvarest Forsknings Institut (FOI)","Prospect","false","","858"
"0017000000Mxo0yAAB","LM Ericsson","Customer","false","","1050"
"0017000000Mxo18AAB","Saab Group AB","Customer","false","","8981"
"0017000000Mxo1RAAR","Saab AB/Saab Microwave Systems","Customer","false","","210"
"0017000000MxrzCAAR","Boeing Satellite Systems - El Segundo","Customer","false","","300"
"0017000000Mxs9MAAR","Wavestream Corporation","Customer","false","","10030073"
"0017000000MxvGuAAJ","Microelectronics Technology Inc. (MTI)","Customer","false","","396"
"0017000000MyB5ZAAV","Anaren Microwave, Inc.","Customer","false","","9314"
"0017000000MzaqnAAB","Northrop Grumman Corporate Headquarters","Enterprise","false","","1015"
"0017000000Mzdj3AAB","Cobham Antenna Systems - Marlow","Customer","true","","9981"
"0017000000Mzdq9AAB","Panasonic - Parent","Customer","false","","9429"
"0017000000Mzdw7AAB","Prime Electronics & Satellitics Inc.","Customer","false","","514"
"0017000000MzdxEAAR","Renesas Electronics - Compound Semiconductor Device Division CAD Group","Ex-Customer","false","","9650"
"0017000000MzdzPAAR","Chi Mei Communications Systems, Inc.","Prospect","false","","9433"
"0017000000Mze54AAB","Naito Densei Machida Seisakusho, K K","Other","false","","IP infri"
"0017000000Mze6hAAB","Defence Science and Technology Organisation (DSTO) - EWRD","Customer","false","","8782"
"0017000000MzeE9AAJ","Quanta Computer Inc.","Prospect","false","",""
"0017000000Mzg0bAAB","Physical Optics Corporation","Prospect","false","","9441"
"0017000000MzgEJAAZ","Universal Scientific Industrial Co., Ltd.","Prospect","false","","9410"
"0017000000MzgG9AAJ","Gigoptix","Customer","false","","4315"
"0017000000MzgPDAAZ","Teledyne Microwave Solutions - Rancho Cordova","Customer","false","","10184"
"0017000000MzgPtAAJ","Hitachi America Ltd. - Global Storage Technologies - Yerba Buena","Customer","false","","9402"
"0017000000MzgecAAB","EPCOS AG - Parent","Customer","false","","9240"
"0017000000NGYOTAA5","Covidien","Customer","false","","9085"
"0017000000NGYPyAAP","Ubidyne Inc.","Prospect","false","","9564"
"0017000000NGYQmAAP","Com Dev USA","Customer","false","","9256"
"0017000000NGYTHAA5","Beceem","Customer","false","","6365"
"0017000000NGYUFAA5","Broadcom Corporation - Irvine","Customer","false","","77"
"0017000000NH0U5AAL","Barry Industries","Prospect","false","","9299"
"0017000000NH0VRAA1","Cobham Tracking and Locating","Prospect","false","",""
"0017000000NH0WAAA1","IDSI, LLC - a General Dynamics Company - New Freedom","Customer","false","","8999"
"0017000000NH0WtAAL","Larcan","Prospect","false","","9409"
"0017000000NH0YAAA1","Lockheed Martin Corporation - Parent","Enterprise","false","","10010004"
"0017000000NH0YnAAL","Paradise Datacom","Customer","false","","2976"
"0017000000NH0ZlAAL","Anadigics Inc.","Prospect","false","","4660"
"0017000000NH0qfAAD","Atto","Prospect","false","",""
"0017000000NH0szAAD","Rockwell Collins - Collins Road","Customer","true","","4862"
"0017000000NH1DNAA1","Aviat Networks, Inc. - NC","Customer","false","","3376"
"0017000000NH1DQAA1","Cree, Inc. - Research Triangle Park Technology Center","Customer","false","","1520"
"0017000000NH1MlAAL","DataPath, Inc.","Prospect","false","",""
"0017000000NH4VpAAL","Honeywell - EMS Technologies,","Customer","true","","5566"
"0017000000NH5jwAAD","Nokia Siemens Networks - Oulu","Customer","false","","9306"
"0017000000NHF85AAH","Skyworks Solutions, Inc. - Headquarters","Customer","false","","19"
"0017000000NHIeVAAX","NTT DoCoMo, Inc. - KK","Customer","false","","2360"
"0017000000NHIeWAAX","DAIHEN Corporation","Customer","false","","9435"
"0017000000NHIeXAAX","Sumitomo Electric Industries, Ltd - Yokohama works","Ex-Customer","false","","9404"
"0017000000NHIeYAAX","Niigata Seimitsu Co., Ltd. - Sanwa Factory","Out of Business","false","","9117"
"0017000000NHIeZAAX","Yamaichi Electronics Co , Ltd","Customer","false","","6939"
"0017000000NHIeaAAH","SMK Corporation","Customer","false","","9031"
"0017000000NHIecAAH","Taiyo Yuden Co., Ltd. - R&D Center","Ex-Customer","false","","8718"
"0017000000NHIedAAH","Panasonic Healthcare","Customer","false","","5976"
"0017000000NHIeeAAH","Panasonic Corporation - Electronic Components and Materials BU, Device Company","Customer","false","","583"
"0017000000NHIefAAH","Panasonic Electronic Devices Co., Ltd. - Circuit Components Business Unit - Development Team3","Customer","false","","8576"
"0017000000NHIehAAH","Fibest Limited","Ex-Customer","false","","4766"
"0017000000NHIejAAH","National Institute of Information and Communications Technology (NICT) - Advanced Research Device Group","Customer","false","","9032"
"0017000000NHIelAAH","Sony EMCS Corporation","Ex-Customer","false","","10010202"
"0017000000NHIemAAH","NEC Corporation - Tsukuba Research Laboratories","No Maintenance","false","","8757"
"0017000000NHIenAAH","Seiko Epson Corporation","Ex-Customer","false","","9637"
