Goal,Amount,Year,Type,Final,pct_of_goal
AP-JPE-NT,1200000,2013CY,base,986539,0.822
AP-JPW-HT,1200000,2013CY,base,826114,0.688
AP-ROK,1100000,2013CY,base,877958,0.798
AP-ANZ,600000,2013CY,base,830014,1.383
AP-IND,300000,2013CY,base,314031,1.047
AP-PRC,700000,2013CY,base,419799,0.600
AP-TSM + ROA,400000,2013CY,base,669048,1.673
AP-ASEAN,100000,2013CY,base,0,0.000
AP-Piracy,1000000,2013CY,base,277092,0.277
EU-FI,1100000,2013CY,base,839577,0.763
EU-DE,1000000,2013CY,base,681717,0.682
EU-IL,600000,2013CY,base,0,0.000
EU-SC,1300000,2013CY,base,1358310,1.045
EU-FR,1000000,2013CY,base,585786,0.586
EU-UK,2700000,2013CY,base,2899803,1.074
EU-LAM,0,2013CY,base,8780,0.000
EU-ROE,700000,2013CY,base,2299271,3.285
EU-Piracy,1000000,2013CY,base,2156993,2.157
NA-NE,2500000,2013CY,base,3351781,1.341
NA-TX,1500000,2013CY,base,1314693,0.876
NA-SE,1900000,2013CY,base,1727883,0.909
NA-WVJ,850000,2013CY,base,1085272,1.277
NA-WJS,3450000,2013CY,base,3504819,1.016
NA-Maint,3350000,2013CY,base,4222600,1.260
NA-Piracy,0,2013CY,base,212530,0.000
VSS_seats,50,2013CY,base,45,0.900
NA-Majors,500000,2013CY,base,1032419,2.065
Japan,2400000,2013CY,aggregate,1812654,0.755
Francis,1100000,2013CY,aggregate,1088847,0.990
AP,5600000,2013CY,aggregate,4923504,0.879
Tabish,2600000,2013CY,aggregate,4779075,1.838
JPKR,3500000,2013CY,aggregate,2690612,0.769
Heikki,7100000,2013CY,aggregate,6365193,0.897
EU,9400000,2013CY,aggregate,10830237,1.152
EU_bonus,9400000,2013CY,aggregate,10830237,1.152
NA-East,5900000,2013CY,aggregate,6394357,1.084
NA-West,4300000,2013CY,aggregate,4590091,1.067
NA,10200000,2013CY,aggregate,10984448,1.077
Piracy,2000000,2013CY,aggregate,2728290,1.364
WW-quota,26200000,2013CY,aggregate,27015281,1.031
WW,25000000,2013CY,aggregate,27240536,1.090
NA_bonus,10200000,2013CY,aggregate,10984448,1.077
WW_bonus,25000000,2013CY,aggregate,27240536,1.090
Majors+TX,2000000,2013CY,aggregate,2347112,1.174
Japan_bonus,2400000,2013CY,aggregate,1812654,0.755
AP-JPE-NT,1300000,2012CY,base,738918,0.568
AP-JPW-HT,1500000,2012CY,base,798328,0.532
AP-ROK,1000000,2012CY,base,1058423,1.058
AP-ANZ,600000,2012CY,base,222691,0.371
AP-IND,300000,2012CY,base,290404,0.968
AP-PRC,800000,2012CY,base,594061,0.743
AP-TSM + ROA,500000,2012CY,base,414714,0.829
AP-ASEAN,100000,2012CY,base,,0.000
AP-Piracy,1400000,2012CY,base,494776,0.353
EU-FI,1300000,2012CY,base,1003479,0.772
EU-DE,750000,2012CY,base,801033,1.068
EU-SC,700000,2012CY,base,509644,0.728
EU-FR,1000000,2012CY,base,768957,0.769
EU-UK,1300000,2012CY,base,1303233,1.002
EU-ROE,1200000,2012CY,base,1905842,1.588
EU-Piracy,750000,2012CY,base,1458059,1.944
NA-NE-NP,1200000,2012CY,base,598130,0.498
NA-NE-TR,1000000,2012CY,base,1047338,1.047
NA-NE,2200000,2012CY,aggregate,1645468,0.748
NA-TX-NP,800000,2012CY,base,652193,0.815
NA-TX-TR,1160000,2012CY,base,1182902,1.020
NA-TX,1960000,2012CY,aggregate,1835095,0.936
NA-SE-NP,1200000,2012CY,base,903791,0.753
NA-SE-TR,1140000,2012CY,base,1540437,1.351
NA-SE,2340000,2012CY,aggregate,2444228,1.045
NA-WVJ,800000,2012CY,base,962298,1.203
NA-WJS,3300000,2012CY,base,3076716,0.932
NA-Maint,3200000,2012CY,base,3552652,1.110
NA-Piracy,350000,2012CY,base,0,0.000
VSS_seats,50,2012CY,base,55,1.100
OLD STAAR/ZTE,5969301,2012CY,base,5972484,1.001
NA-Majors,1240000,2012CY,base,1586705,1.280
Japan,2800000,2012CY,aggregate,1537246,0.549
Francis,1300000,2012CY,aggregate,1008775,0.776
AP,6100000,2012CY,aggregate,4117539,0.675
Tabish,2950000,2012CY,aggregate,4163949,1.412
JPKR,3800000,2012CY,aggregate,2595669,0.683
Heikki,2050000,2012CY,aggregate,1804512,0.880
EU,7000000,2012CY,aggregate,7750247,1.107
EU_bonus,7000000,2012CY,aggregate,7750247,1.107
NA-East,6500000,2012CY,aggregate,5924791,0.912
NA-West,4100000,2012CY,aggregate,4039014,0.985
NA,10600000,2012CY,aggregate,9963805,0.940
Piracy,2500000,2012CY,aggregate,1952835,0.781
WW,28500000,2012CY,aggregate,28298851,0.993
NA_bonus,10600000,2012CY,aggregate,9963805,0.940
WW_bonus,28500000,2012CY,aggregate,28298851,0.993
Majors+TX,3200000,2012CY,aggregate,3421800,1.069

Japan_bonus,2800000,2012CY,aggregate,1537246,0.549
WW-quota,31419301,2012CY,aggregate,28298851,0.902



