custid	a2010	a2011	a2012	a2013
10000	5090.48	65896.82	60600.00	60600.00
10000021	6051.24	6644.29	7266.62	7989.12
10003	45601.52	47168.01	55201.04	54579.03
10004	8079.50			
10009	2906.93	3219.91	2972.97	3610.15
10010007	41152.52	23696.30	25997.40	26712.48
10010021	6000.00	5700.00		
10010026	19200.00	14400.00	17400.00	8700.00
10010030	7976.10	8750.00	13734.00	11434.10
10010034				
10010034				
10010038	71077.00	78625.00	79254.00	39652.20
10010039				
10010048	5700.00	5700.00	6900.00	6900.00
10010049	12200.00	12400.00	12400.00	15000.00
10010072	24408.00	22821.43	31491.00	22343.70
10010097			46400.00	
10010098	19239.84	19900.76	23537.53	23272.31
10010103	16878.96	17563.14	11325.60	11637.12
10010105	24735.00	71400.00	21520.00	33760.00
10010124	1243.00	1375.00		
10010126				
10010149	23407.60	6187.52	6447.13	6109.49
10010152	8841.36	6042.56	6839.49	38595.19
10010169			9200.00	9000.00
10010172	4654.80	4814.70		
10010180	30724.02	37340.92	37639.64	53953.57
