Dept	Account	CC	Account	CC-Tax	Account-Tax	AWR High Level P&L	NI Line Description
0	1100	0	10001	0	10001	Other	Cash: operating: Domestic
0	1101	0	10001	0	10001	Other	Cash: operating: Domestic
0	1102	0	10001	0	10001	Other	Cash: operating: Domestic
0	1103	0	10001	0	10001	Other	Cash: operating: Domestic
0	1110	0	10001	0	10001	Other	Cash: operating: Domestic
0	1111	0	10001	0	10001	Other	Cash: operating: Domestic
0	1140	0	10001	0	10001	Other	Cash: operating: Domestic
0	1190	0	10001	0	10001	Other	Cash: operating: Domestic
0	1195	0	10001	0	10001	Other	Cash: operating: Domestic
0	1200	0	11001	0	11001	Other	A/R: Trade
0	1220	0	11011	0	11011	Other	Allowance: doubtful accounts
0	1230	0	11001	0	11001	Other	A/R: Trade
0	1240	0	11031	0	11031	Other	A/R: Non system receivables
0	1250	0	11031	0	11031	Other	A/R: Non system receivables
0	1290	0	11031	0	11031	Other	A/R: Non system receivables
0	1295	0	27404	0	27404	Other	NIC - Irregular Recharge Balances
0	1301	0	99999	0	12020	Other	must zero out; any remaining $ move to petty cash
0	1302	0	99999	0	12020	Other	must zero out; any remaining $ move to petty cash
0	1303	0	99999	0	12020	Other	must zero out; any remaining $ move to petty cash
0	1304	0	99999	0	12020	Other	must zero out; any remaining $ move to petty cash
0	1305	0	99999	0	12020	Other	must zero out; any remaining $ move to petty cash
0	1307	0	99999	0	12020	Other	must zero out; any remaining $ move to petty cash
0	1324	0	99999	0	12020	Other	must zero out; any remaining $ move to petty cash
0	1390	0	99999	0	12020	Other	must zero out; any remaining $ move to petty cash
0	1400	0	14045	0	14045	Other	Prepaid others
0	1401	0	14017	0	14017	Other	Prepaid tradeshowa
0	1402	0	14015	0	14015	Other	Prepaid advertising
0	1403	0	14011	0	14011	Other	Prepaid insurance
0	1404	0	14013	0	14013	Other	Prepaid
0	1405	0	14013	0	14013	Other	Prepaid
0	1406	0	14013	0	14013	Other	Prepaid
0	1430	0	14031	0	14031	Other	VAT/GST recoverable
0	1432	0	14045	0	14045	Other	MI Prepaid other
0	1440	0	14045	0	14045	Other	MI Prepaid other
0	1442	0	14031	0	14031	Other	VAT/GST recoverable
0	1450	0	14031	0	14031	Other	VAT/GST recoverable
0	1490	0	14045	0	14045	Other	Prepaid others
0	1495	0	14095	0	14095	Other	Other Current Assests
0	1500	0	15040	0	15040	Other	Furniture & Fixtures >1000
0	1502	0	15030	0	15030	Other	Computer Equipment >1000
0	1504	0	15080	0	15080	Other	Software >1000
0	1509	0	15020	0	15020	Other	Equipment >1000
0	1510	0	15015	0	15015	Other	Building improvements
0	1549	0	15040	0	15040	Other	Furniture & Fixtures >1000
0	1550	0	16040	0	16040	Other	Accum. Depr.: F&F
0	1552	0	16030	0	16030	Other	Accum. Depr.: Computer
0	1554	0	16080	0	16080	Other	accum depr sw
0	1559	0	16020	0	16020	Other	Accum. Depr.: Equipment
0	1560	0	16018	0	16018	Other	Accum . Depr.: Office Improvement
0	1600	0	14097	0	14097	Other	Def tax asset: fed: current
0	1601	0	14097	0	14097	Other	Def tax asset: fed: current
0	1602	0	14097	0	14097	Other	Def tax asset: fed: current
0	1603	0	14097	0	14097	Other	Def tax asset: fed: current
0	1604	0	14098	0	14098	Other	Def tax asset: state: current
0	1605	0	14098	0	14098	Other	Def tax asset: state: current
0	1606	0	14098	0	14098	Other	Def tax asset: state: current
0	1607	0	14098	0	14098	Other	Def tax asset: state: current
0	1710	0	99999	0	18010	Other	account 1710 thru 1770 = 3110 tru 3170 + 3410; must zero out; any remaining $ move to petty cash
0	1720	0	99999	0	18010	Other	account 1710 thru 1770 = 3110 tru 3170 + 3410; must zero out; any remaining $ move to petty cash
0	1730	0	99999	0	18010	Other	account 1710 thru 1770 = 3110 tru 3170 + 3410; must zero out; any remaining $ move to petty cash
0	1740	0	99999	0	18010	Other	account 1710 thru 1770 = 3110 tru 3170 + 3410; must zero out; any remaining $ move to petty cash
0	1750	0	99999	0	18010	Other	account 1710 thru 1770 = 3110 tru 3170 + 3410; must zero out; any remaining $ move to petty cash
0	1770	0	99999	0	18010	Other	account 1710 thru 1770 = 3110 tru 3170 + 3410; must zero out; any remaining $ move to petty cash
0	1830	0	17090	0	17090	Other	Other intellectual property
0	1831	0	17090	0	17090	Other	Other intellectual property
0	1838	0	17085	0	17085	Other	Goodwill
0	1900	0	19005	0	19005	Other	Rent Deposits
0	1950	0		0		Other	
0	2000	0	20001	0	20001	Other	A/P: Trade
0	2010	0	20006	0	20006	Other	service po accrual
0	2020	0	20046	0	20046	Other	invoices not received
0	2100	0		0		Other	
0	2101	0		0		Other	
0	2102	0		0		Other	
0	2103	0		0		Other	
0	2104	0		0		Other	
0	2150	0	20005	0	20005	Other	A/P: Trade
0	2200	0	23001	0	23001	Other	federal income tax
0	2210	0	24020	0	24020	Other	sales tax payable
0	2211	0	24020	0	24020	Other	sales tax payable
0	2212	0	24020	0	24020	Other	sales tax payable
0	2213	0	24020	0	24020	Other	sales tax payable
0	2214	0	24020	0	24020	Other	sales tax payable
0	2215	0	24020	0	24020	Other	sales tax payable
0	2216	0	24020	0	24020	Other	sales tax payable
0	2217	0	24020	0	24020	Other	sales tax payable
0	2218	0	24020	0	24020	Other	sales tax payable
0	2219	0	24020	0	24020	Other	sales tax payable
0	2220	0	24020	0	24020	Other	sales tax payable
0	2221	0	24020	0	24020	Other	sales tax payable
0	2222	0	24020	0	24020	Other	sales tax payable
0	2230	0	24020	0	24020	Other	sales tax payable
0	2231	0		0		Other	
0	2240	0	24020	0	24020	Other	sales tax payable
0	2242	0	24020	0	24020	Other	sales tax payable
0	2260	0	26075	0	26075	Other	deferred income tax
0	2261	0	26075	0	26075	Other	deferred income tax
0	2290	0	24065	0	24065	Other	other tax payable
0	2300	0	25053	0	25053	Other	deferred revenue SSP
0	2301	0	25053	0	25053	Other	deferred revenue SSP
0	2302	0	25053	0	25053	Other	deferred revenue SSP
0	2310	0	25053	0	25053	Other	Long Term Def Rev Term License
0	2311	0		0		Other	
0	2312	0		0		Other	
0	2400	0	21021	0	21021	Other	Accrued vacations
0	2401	0	21001	0	21001	Other	Accrued wages
0	2402	0	21005	0	21005	Other	Accrued commissions
0	2403	0	25002	0	25002	Other	cafateria plan medical
0	2404	0	20005	0	20005	Other	A/P: Trade
0	2405	0	20045	0	20045	Other	other employment tax payables
0	2410	0	20045	0	20045	Other	other employment tax payables
0	2412	0	20045	0	20045	Other	other employment tax payables
0	2430	0	21035	0	21035	Other	accrued retierment
0	2435	0	21031	0	21031	Other	accrued espp
0	2490	0	20045	0	20045	Other	other employment tax payables
0	2500	0		0		Other	
0	2510	0	20045	0	20045	Other	Accrued other
0	2520	0	20045	0	20045	Other	Accrued other
0	2530	0		0		Other	
0	2600	0	20045	0	20045	Other	Accrued other
0	2601	0	25095	0	25095	Other	current liabilities
0	2610	0	26080	0	26080	Other	deferred rent
0	2700	0		0		Other	
0	3000	0		0		Other	
0	3001	0		0		Other	
0	3002	0		0		Other	
0	3100	0	35001	0	35001	Other	Common Stock 1
0	3110	0	99999	0	35001	Other	Common Stock STAAR
0	3120	0	99999	0	35001	Other	Common Stock AWR Ltd.
0	3130	0	99999	0	35001	Other	Common Stock AWR Aplac
0	3140	0	99999	0	35001	Other	Common Stock AWR France
0	3150	0	99999	0	35001	Other	Common Stock AWR Japan
0	3170	0	99999	0	35001	Other	Common Stock AWR Korea
0	3200	0	35001	0	35001	Other	Common Stock 1
0	3400	0	35001	0	35001	Other	Common Stock 1
0	3410	0	99999	0	35050	Other	Additional PIC STAAR
0	3430	0	99999	0	35050	Other	Additional PIC AWR Aplac
0	3500	0	35001	0	35001	Other	Common Stock 1
0	3600	0		0		Other	
0	3900	0	35001	0	35001	Other	Common Stock 1
0	3910	0	35001	0	35001	Other	Common Stock 1
300	4000	0	40010	0	40010	Other	Domestics sales revenue
300	4005	0	40010	0	40010	Other	Domestics sales revenue
300	4010	0	40010	0	40010	Other	Domestics sales revenue
300	4015	0	40010	0	40010	Other	Domestics sales revenue
300	4020	0	40010	0	40010	Other	Domestics sales revenue
300	4025	0	40010	0	40010	Other	Domestics sales revenue
300	4100	0	40010	0	40010	Other	Domestics sales revenue
300	4105	0	40010	0	40010	Other	Domestics sales revenue
300	4110	0	40010	0	40010	Other	Domestics sales revenue
300	4115	0	40010	0	40010	Other	Domestics sales revenue
300	4120	0	40010	0	40010	Other	Domestics sales revenue
300	4125	0	40010	0	40010	Other	Domestics sales revenue
300	4200	0	40010	0	40010	Other	Domestics sales revenue
300	4205	0	40010	0	40010	Other	Domestics sales revenue
300	4210	0	40010	0	40010	Other	Domestics sales revenue
300	4215	0	40010	0	40010	Other	Domestics sales revenue
300	4220	0	40010	0	40010	Other	Domestics sales revenue
300	4225	0	40010	0	40010	Other	Domestics sales revenue
300	4300	0	40010	0	40010	Other	Domestics sales revenue
300	4310	0	40010	0	40010	Other	Domestics sales revenue
300	4400	0	40010	0	40010	Other	Domestics sales revenue
300	4410	0	40010	0	40010	Other	Domestics sales revenue
300	4420	0	40010	0	40010	Other	Domestics sales revenue
300	4900	0		0		Other	
300	5120	0	99998	0	44010	Other	Intercompany sales revenue
300	5140	0	99998	0	44010	Other	Intercompany sales revenue
300	5150	0	99998	0	44010	Other	Intercompany sales revenue
300	5170	0	99998	0	44010	Other	Intercompany sales revenue
300	5200	0	64010	0	64010	Other	Sales rep. commissions
300	5250	0	40010	0	40010	Other	VAT-Tax Unrecoverable
300	5500	0	99998	0	44055	Other	Intercompany commission revenue - R&D
300	5510	0	99998	0	50081	Other	COGS: intercompany
400	5000	1090		1090		COGS	
400	5050	1090	66023	1090	66023	COGS	"Material, labor & overhead"
400	5051	1090	66023	1090	66023	COGS	"Material, labor & overhead"
400	5055	1090	50021	1090	50021	COGS	COGS: domestic
400	5060	1090	50021	1090	50021	COGS	COGS: domestic
400	5070	1090	50021	1090	50021	COGS	COGS: domestic
400	5300	1090	50021	1090	50021	COGS	COGS: domestic
400	5310	1090	50021	1090	50021	COGS	COGS: domestic
400	5400	1090	50021	1090	50021	COGS	COGS: domestic
400	6000	1090	60001	1090	60001	COGS	Salaries
400	6001	1090	60016	1090	60016	COGS	Bonus- Vacation pay
400	6002	1090	60095	1090	60095	COGS	Misc. personnel expense
400	6009	1090	61011	1090	61011	COGS	Payroll Tax
400	6010	1090	61011	1090	61011	COGS	Payroll Tax
400	6020	1090	60015	1090	60015	COGS	Vacation
400	6030	1090	60013	1090	60013	COGS	Employee awards
400	6035	1090		1090		COGS	
400	6040	1090	61095	1090	61095	COGS	Other employee benefits: Deductible
400	6045	1090	63017	1090	63017	COGS	Membership fees
400	6050	1090	64007	1090	64007	COGS	Consulting fees
400	6055	1090	65095	1090	65095	COGS	Recruiter Fees
400	6100	1090	61021	1090	61021	COGS	Group insurance
400	6200	1090	68029	1090	68029	COGS	Telephone: Cell
400	6210	1090	68021	1090	68021	COGS	Telephone: Local
400	6230	1090	68031	1090	68031	COGS	Internet fees
400	6405	1090	63011	1090	63011	COGS	Books
400	6415	1090	69043	1090	69043	COGS	"Computers, equipment&tools<$1000"
400	6416	1090	69031	1090	69031	COGS	Equipment maintenance
400	6420	1090	69047	1090	69047	COGS	Software<$1000
400	6421	1090	69032	1090	69032	COGS	Software maintenance
400	6425	1090		1090		COGS	
400	6430	1090	70001	1090	70001	COGS	Office supplies
400	6435	1090	70001	1090	70001	COGS	Office supplies
400	6440	1090	70095	1090	70095	COGS	Other Office
400	6455	1090	90031	1090	90031	COGS	Non-deductible penalties
400	6460	1090	66010	1090	66010	COGS	Postage
400	6900	1090	95005	1090	95005	COGS	Allocated supplied
400	7135	1090	64031	1090	64031	COGS	Copy & Printing
400	7315	1090	70059	1090	70059	COGS	Promotional items
400	7325	1090	82045	1090	82045	COGS	Sales rep confrence
400	7330	1090	82030	1090	82030	COGS	Special events
400	7500	1090	62010	1090	62010	COGS	Airfare
400	7505	1090	62020	1090	62020	COGS	Hotel
400	7510	1090	62081	1090	62081	COGS	Entertainment - deductible
400	7515	1090	62030	1090	62030	COGS	Travel Meals
400	7520	1090	62007	1090	62007	COGS	Transportation Expenses
400	7525	1090	62032	1090	62032	COGS	Travel: Parking
400	7530	1090	62061	1090	62061	COGS	Mileage (non-taxable)
400	7535	1090	62065	1090	62065	COGS	Auto & Gas
400	7540	1090	82071	1090	82071	COGS	Job fair fees
400	7545	1090	62081	1090	62081	COGS	Entertainment - deductible
