Dept	Account	CC	Account	CC-Tax	Account-Tax	NI Line Description
0	1100	0	10001	0	10001	Cash: operating: Domestic
0	1101	0	10001	0	10001	Cash: operating: Domestic
0	1102	0	10001	0	10001	Cash: operating: Domestic
0	1103	0	10001	0	10001	Cash: operating: Domestic
0	1110	0	10001	0	10001	Cash: operating: Domestic
0	1111	0	10001	0	10001	Cash: operating: Domestic
0	1140	0	10001	0	10001	Cash: operating: Domestic
0	1190	0	10001	0	10001	Cash: operating: Domestic
0	1195	0	10001	0	10001	Cash: operating: Domestic
0	1200	0	11001	0	11001	A/R: Trade
0	1220	0	11011	0	11011	Allowance: doubtful accounts
0	1230	0	11001	0	11001	A/R: Trade
0	1240	0	11031	0	11031	A/R: Non system receivables
0	1250	0	11031	0	11031	A/R: Non system receivables
0	1290	0	11031	0	11031	A/R: Non system receivables
0	1295	0	27404	0	27404	NIC - Irregular Recharge Balances
0	1301	0	99999	0	12020	must zero out; any remaining $ move to petty cash
0	1302	0	99999	0	12020	must zero out; any remaining $ move to petty cash
0	1303	0	99999	0	12020	must zero out; any remaining $ move to petty cash
0	1304	0	99999	0	12020	must zero out; any remaining $ move to petty cash
0	1305	0	99999	0	12020	must zero out; any remaining $ move to petty cash
0	1307	0	99999	0	12020	must zero out; any remaining $ move to petty cash
0	1324	0	99999	0	12020	must zero out; any remaining $ move to petty cash
0	1390	0	99999	0	12020	must zero out; any remaining $ move to petty cash
0	1400	0	14045	0	14045	Prepaid others
0	1401	0	14017	0	14017	Prepaid tradeshowa
0	1402	0	14015	0	14015	Prepaid advertising
0	1403	0	14011	0	14011	Prepaid insurance
0	1404	0	14013	0	14013	Prepaid
0	1405	0	14013	0	14013	Prepaid
0	1406	0	14013	0	14013	Prepaid
0	1430	0	14031	0	14031	VAT/GST recoverable
0	1432	0	14045	0	14045	MI Prepaid other
0	1440	0	14045	0	14045	MI Prepaid other
0	1442	0	14031	0	14031	VAT/GST recoverable
0	1450	0	14031	0	14031	VAT/GST recoverable
0	1490	0	14045	0	14045	Prepaid others
0	1495	0	14095	0	14095	Other Current Assests
0	1500	0	15040	0	15040	Furniture & Fixtures >1000
0	1502	0	15030	0	15030	Computer Equipment >1000
0	1504	0	15080	0	15080	Software >1000
0	1509	0	15020	0	15020	Equipment >1000
0	1510	0	15015	0	15015	Building improvements
0	1549	0	15040	0	15040	Furniture & Fixtures >1000
0	1550	0	16040	0	16040	Accum. Depr.: F&F
0	1552	0	16030	0	16030	Accum. Depr.: Computer
0	1554	0	16080	0	16080	accum depr sw
0	1559	0	16020	0	16020	Accum. Depr.: Equipment
0	1560	0	16018	0	16018	Accum . Depr.: Office Improvement
0	1600	0	14097	0	14097	Def tax asset: fed: current
