"AWR Corporation",
"AWR Corporation",
"October 31, 2012",
"Cash - Operating","0001100??, /Y",2805615.84
"Cash - Secondary Checking","0001102??, /Y",21578.48
"Cash - JPY","0001103??, /Y",1118133.64
"Accounts Receivable","0001200??, /Y",3594355.93
"Allowance for Doubtful Accts","0001220??, /Y",-214028.95
"Other Receivables","0001290??, /Y",10500
"Interco AWR/NI","0001295??, /Y",10257380.17
"Interco US / UK","0001302??, /Y",703849
"Interco US / APLAC","0001303??, /Y",-134473
"Interco US / JP","0001305??, /Y",5990.72
"Prepaid Royalties","0001400??, /Y",1774.96
"Prepaid Tradeshow","0001401??, /Y",29900
"Prepaid Advertising","0001402??, /Y",6679.67
"Prepaid Insurance","0001403??, /Y",21072.15
"Prepaid SW Maint Contracts","0001406??, /Y",70139.93
"Prepaid Other","0001490??, /Y",18765.48
"Furniture & Fixtures","0001500??, /Y",104115.91
"Computer Hardware","0001502??, /Y",404393.25
"Computer Software","0001504??, /Y",381156.62
"Other Equipment","0001509??, /Y",327776.87
"Leasehold Improvements","0001510??, /Y",65873.49
"Accum Depr - F&F","0001550??, /Y",-1029396.92
"Accum Depr - Comp HW","0001552??, /Y",-10387.94
"Accum Depr - Leasehold","0001560??, /Y",-44108.07
"Federal Cur Def Tax Asset","0001600??, /Y",-750267
"Federal Non Cur Def Tax Asset","0001601??, /Y",5439180
"Federal Valuation Reserve","0001603??, /Y",-4688912
"State Cur Def Tax Asset","0001604??, /Y",12164
"State Non Cur Def Tax Asset","0001605??, /Y",2331045
"State Valuation Reserve","0001606??, /Y",-2343210
"Investment in AWR Ltd.","0001720??, /Y",16099
"Investment in AWR-Aplac, OY","0001730??, /Y",2625556.89
"Investment in AWR Japan KK","0001750??, /Y",85709.36
"Intellectual Property","0001830??, /Y",870000
"Accum Amort IP","0001831??, /Y",-852916.51
"Goodwill","0001838??, /Y",271009.51
"Security Deposits","0001900??, /Y",35932.99
"Accounts Payable","0002000??, /Y",-18661.15
"Sale Rep & Reseller Payable","0002010??, /Y",-78551.41
"Accrued Operating Expenses","0002020??, /Y",-50478.53
"Income Tax Payable","0002200??, /Y",922280
"Sales Tax Payable","0002210??, /Y",-9014.33
"Sales Tax Payable - MA","0002214??, /Y",0.01
"Consumption Tax Payable","0002230??, /Y",-31605.25
"Accrued Tax - Other","0002290??, /Y",-3038.73
"Deferred Revenue Term License","0002300??, /Y",-8115589.1
"Deferred Revenue Maintenance","0002301??, /Y",-4786247.24
"Deferred Revenue Service","0002302??, /Y",-20940.54
"Accrued Vacation","0002400??, /Y",-665221.61
"Accrued Wages","0002401??, /Y",-0.01
"Accrued Bonus & Commission","0002402??, /Y",-488227
"Pre Tax Deduction Liability","0002403??, /Y",-5038.3
"Expense Report Clearing","0002404??, /Y",11754.51
"Accrued Payroll Tax","0002405??, /Y",-14.16
"URSSAF - PR Tax Accrual","0002410??, /Y",-0.04
"Accrued ESPP","0002435??, /Y",-214612.93
"Other Accrued Employee Benefits","0002490??, /Y",0.04
"NI - accruals","0002510??, /Y",-1038339.22
"Acc AP & Other S/T Liabilities","0002600??, /Y",-282861.25
"Deferred Rent","0002610??, /Y",-121752.65
