SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,MWO-228-TFW,MWO-TERM,MWO for MMIC; Term/Floating/Win,000-2300-00,INT,35,1668.33,922.10,26118.05,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,APL-200-TFW,APL-TERM,APLAC Time-Domain & HB Advanced; Term/Floating/Win,000-2300-00,INT,35,606.67,335.31,9497.60,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,VSS-250-TFW,VSS-TERM,VSS for Communication Signals; Term/Floating/Win,000-2300-00,INT,5,910.00,502.96,2035.20,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,FIL-100-TFW,FIL-TERM,Nuhertz Filter Synthesis; Term/Floating/Win,000-2300-00,INT,4,379.17,209.57,678.40,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,ANO-229-TFW,ANO-TERM,ANO for RFIC; Term/Floating/Win,000-2300-00,INT,2,3412.50,1886.12,3052.76,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,HSP-100-TFW,HSP-TERM,Synopsys HSPICE and Simulation Interface; Term/Floating/Win,000-2300-00,INT,2,758.33,419.14,678.38,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,SPC-100-TFW,SPC-TERM,Cadence Spectre Simulator Interface; Term/Floating/Win,000-2300-00,INT,2,758.33,419.14,678.38,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,CAL-100-TFW,CAL-TERM,Mentor Calibre DRC/LVS Verification Interface; Term/Floating/Win,000-2300-00,INT,2,1137.50,628.71,1017.58,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,MOD-100-TFW,,Modelithics CLR Model Library.  Term Floating License for Win.,300-4420-00,INT,1,505.55,279.42,226.13,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,TSW-100-TFW,TSW-TERM,TestWave Instrumentation Interface; Term/Floating/Win,000-2300-00,INT,1,252.74,139.72,113.02,Normal
Invoice,4623TI-12,1/1/2010,,210,Saab Microwave Systems,Sweden,EUROPE,ADS-100-TFW,ADS-TERM,Agilent EEsof ADS to MWO Translator; Term/Floating/Win,000-2300-00,INT,1,2022.22,1117.72,904.50,Normal
Invoice,4816UI-4,1/1/2010,6763,2126,Universite De Paris - Ville D'Avray,France,EUROPE,MWO-225-UFW,MWO-UNIV,Microwave Office University 20-License Package,300-4000-00,INT,1,3651.50,1460.60,2190.90,Normal
Invoice,4816UI-4,1/1/2010,6763,2126,Universite De Paris - Ville D'Avray,France,EUROPE,VSS-250-UFW,VSS-UNIV,Visual System Simulator University 20-License Package,300-4000-00,INT,1,3651.50,1460.60,2190.90,Normal
Invoice,4847TI(3)C,1/1/2010,,396,Microelectronics Technology,"Taiwan,",ASIA,MWO-225-TFW,MWO-TERM,MWO for MIC/PCB; Term/Floating/Win,000-2300-00,INT,20,4095.00,3157.50,18750.00,Normal
Invoice,5320TD(3),1/1/2010,,9314,Anaren Microwave Inc.,United States,NORTH AMERICA,MWO-105-TFW,MWO-TERM,MWO Linear & Layout; Term/Floating/Win,000-2300-00,AWR,3,5600.00,1008.00,13776.00,Normal
Invoice,5320TD(3),1/1/2010,,9314,Anaren Microwave Inc.,United States,NORTH AMERICA,FIL-100-TFW,FIL-TERM,Nuhertz Filter Synthesis; Term/Floating/Win,000-2300-00,AWR,1,3500.00,630.00,2870.00,Normal
Invoice,5320TD(3),1/1/2010,,9314,Anaren Microwave Inc.,United States,NORTH AMERICA,MWO-226-TFW,MWO-TERM,MWO for MIC/PCB & Signal Integrity; Term/Floating/Win,000-2300-00,AWR,2,16800.00,3024.00,27552.00,Normal
Invoice,5365UI(3),1/1/2010,9112,2065,Korea Advanced Institute,Korea (Repulic of),ASIA,MWO-225-UFW,MWO-UNIV,Microwave Office University 20-License Package,300-4000-00,RES40,1,2080.00,0.00,2080.00,Normal
Invoice,5516CTC-8,1/1/2010,,8813,Honeywell,United States,NORTH AMERICA,MWO-105-P0W,MWO-PURC,MWO Linear: Layout; Purchase/WAN WW/Win,000-2300-00,AWR,2,733.50,580.50,306.00,Normal
Invoice,5516CTC-8,1/1/2010,,8813,Honeywell,United States,NORTH AMERICA,MWO-125-P0W,MWO-PURC,"MWO Linear: EMSight, Layout; Purchase/WAN WW/Win",000-2300-00,AWR,2,1100.00,870.50,459.00,Normal
Invoice,5516CTC-8,1/1/2010,,8813,Honeywell,United States,NORTH AMERICA,MWO-225-P0W,MWO-PURC,MWO for MIC/PCB; Purchase/WAN WW/Win,000-2300-00,AWR,2,1466.50,1160.00,613.00,Normal
Invoice,5516CTC-8,1/1/2010,,8813,Honeywell,United States,NORTH AMERICA,UPG-PROD,MISC,Upgrade from MWO-226 to MWO-225-P0W,000-2300-00,,2,550.00,435.00,230.00,Normal
Invoice,5516CTC-8,1/1/2010,,8813,Honeywell,United States,NORTH AMERICA,VSS-250-P0W,VSS-PURC,VSS for Communication Signals; Purchase/WAN WW/Win,000-2300-00,AWR,1,1100.00,870.00,230.00,Normal
Invoice,5516CTC-8,1/1/2010,,8813,Honeywell,United States,NORTH AMERICA,ANO-229-P0W,ANO-PURC,ANO for RFIC; Purchase/WAN WW/Win,000-2300-00,AWR,1,4125.00,3263.00,862.00,Normal
Invoice,5516CTC-8,1/1/2010,,8813,Honeywell,United States,NORTH AMERICA,HSP-100-P0W,HSP-PURC,Synopsys HSPICE and Simulation Interface; Purchase/WAN WW/Win,000-2300-00,AWR,1,917.00,726.00,191.00,Normal
