SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,7063CD(1),4/30/2010,827,478,Northrop Grumman,United States,NORTH AMERICA,MWO-248-PFW,MWO-PURC,"MWO for MMIC: HB, EMSight, AXIEM FS, Layout, DRC, MMIC Libraries Purchase/Floating/Win",300-4015-00,AWR,11,54000,38710.27,168187.03,Normal
Invoice,7063CD(1),4/30/2010,827,478,Northrop Grumman,United States,NORTH AMERICA,MWO-248-PFW,MWO-PURC,"MWO for MMIC: HB, EMSight, AXIEM FS, Layout, DRC, MMIC Libraries Purchase/Floating RID/WIN",300-4015-00,AWR,10,54000,38710.3,152897,Normal
Invoice,7063CD(1),4/30/2010,827,478,Northrop Grumman,United States,NORTH AMERICA,MWO-248-PFW,MWO-PURC,"MWO for MMIC: HB, EMSight, AXIEM FS, Layout, DRC, MMIC Libraries Purchase/Floating/Win",300-4015-00,AWR,3,54000,16200,113400,Normal
Invoice,7061CDM(1),4/16/2010,954,72,Boeing,United States,NORTH AMERICA,MWO-228-MFW,MWO-MAIN,"MWO for MMIC; 12M Maint/FL RID#1063, ID#300",000-2301-00,AWR,15,6696,0,100440,Normal
Invoice,7061CDM(2),3/23/2011,954,72,Boeing,US,NORTH AMERICA,MWO-228-MFW,MWO-MAIN,MWO for MMIC; 12M Maint/FL RID#1063  ID#300,000-2301-00,AWR,15,6696,0,100440,Normal
Invoice,7379CI,10/15/2010,8930,10341-KK,Sumitomo Electric Networks Inc.,Japan,ASIA,MWO-449-PLW,MWO-PURC,MWO for MMIC/Modules; Purchase/Locked/RID#18587,300-4015-00,JAP,1,95856.17,5656.7,90199.48,Normal
Invoice,7063CD(2),3/1/2011,827,478,Northrop Grumman,US,NORTH AMERICA,MWO-248-MFW,MWO-MAIN,MWO for MMIC:HB EMSight AXIEM FS Layout DRC MMIC Libraries 12M Maint/FL/Win,000-2301-00,AWR,11,7533,0,82863,Normal
Invoice,5150TMI-4,7/1/2010,1541,551,Rohde & Schwarz,Germany,EUROPE,MWO-225-MFW,MWO-MAIN,MWO for MIC/PCB; 12M Maint/Floating/Win,000-2301-00,INT,20,5374.69,1253.45,82424.8,Normal
Invoice,7649MI,3/21/2011,827,827,Northrop Grumman Corporation,US,NORTH AMERICA,MWO-228-MFW,MWO-MAIN,MWO for MMIC; 12M Maint/Floating,000-2301-00,AWR,11,7200,0,79200,Normal
Invoice,7704TI(1),3/31/2011,8930,3324-KK,Toko  Inc,Japan,ASIA,MWO-205-TFW,MWO-TERM,MWO NonLinear: HB  Layout; Term/Floating/RID#19441,000-2300-00,JAP,5,18406.39,2760.91,78227.42,Normal
Invoice,7637PD,3/21/2011,,9636,Space Labs/Loral,US,NORTH AMERICA,MWO-228-PFW,MWO-PURC,MWO for MMIC; Purchase/Floating/RID#19293,300-4015-00,AWR,2,48000,9600,76800,Normal
Invoice,7063CD(1),4/30/2010,827,478,Northrop Grumman,United States,NORTH AMERICA,MWO-248-PFW,MWO-PURC,"MWO for MMIC: HB, EMSight, AXIEM FS, Layout, DRC, MMIC Libraries Purchase/Floating/Win",300-4015-00,AWR,5,54000,38710.2,76449,Normal
Invoice,7499CI,12/23/2010,10158,10379,LIG Nex1,SOUTH KOREA,ASIA,MWO-449-PLW,MWO-PURC,MWO for MMIC/Modules; Purchase/Locked/RID#18939,300-4015-00,AWR,1,76469.65,54.98,76414.67,Normal
