SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,6636TD-9,10/1/2011,,306,Aeroflex (Main Office),US,,MWO-228-T3W,MWO-TERM,MWO for MMIC; Term/WAN 3 TZ/Win RID#16568,000-2300-00,AWR,2,5460.00,904.50,9111.00,Normal
Invoice,6636TD-9,10/1/2011,,306,Aeroflex (Main Office),US,,MWO-225-T3W,MWO-TERM,MWO for MIC/PCB; Term/WAN 3 TZ/Win RID#16569,000-2300-00,AWR,3,4095.00,678.37,10249.89,Normal
Invoice,6636TD-9,10/1/2011,,306,Aeroflex (Main Office),US,,MWO-105-T3W,MWO-TERM,MWO Linear & Layout; Term/WAN 3 TZ/Win RID#16570,000-2300-00,AWR,1,1820.00,301.50,1518.50,Normal
Invoice,6636TD-9,10/1/2011,,306,Aeroflex (Main Office),US,,MOD-100-T3W,,Modelithics CRL Model LibraryTerm/WAN 3 TZ/Win RID#16570,300-4420-00,AWR,1,1516.75,251.27,1265.48,Normal
Invoice,6636TD-9,10/1/2011,,306,Aeroflex (Main Office),US,,VSS-250-T3W,VSS-TERM,VSS for Communication Signals; Term/WAN 3 TZ/Win RID#16572,000-2300-00,AWR,2,2730.00,452.25,4555.50,Normal
Invoice,6636TD-9,10/1/2011,,306,Aeroflex (Main Office),US,,XEM-100-T3W,XEM-TERM,AXIEM FS:3D Planar EM-Direct & Fast Solver; Term/WAN 3 TZ/Win RID#16573,000-2300-00,AWR,1,4095.00,678.37,3416.63,Normal
Invoice,6839TD-8,10/1/2011,,9574,Aquantia Corp,US,NORTH AMERICA,MWO-200-TFW,MWO-TERM,MWO NonLinear: HB; Term/Floating/Win RID#17173,000-2300-00,AWR,1,2100.00,630.00,1470.00,Normal
Invoice,7049TI-7,10/1/2011,,562,SAAB Avitronics.,Sweden,EUROPE,MWO-229-TFW,MWO-TERM,MWO for MMIC & Modules; Term/FloatingRID #17660,000-2300-00,EUR,50,6300.00,6228.26,3587.00,Normal
Invoice,7049TI-7,10/1/2011,,562,SAAB Avitronics.,Sweden,EUROPE,APL-200-TFW,APL-TERM,APLAC Time-Domain & Multi-Rate Harmonic Balance; Term/Floating RID#17661,000-2300-00,EUR,50,3150.00,3114.13,1793.50,Normal
Invoice,7049TI-7,10/1/2011,,562,SAAB Avitronics.,Sweden,EUROPE,VSS-350-TFW,VSS-TERM,VSS for Wireless Communication Standards; Term/Floating RID#17662,000-2300-00,EUR,50,3375.00,3336.57,1921.50,Normal
Invoice,7049TI-7,10/1/2011,,562,SAAB Avitronics.,Sweden,EUROPE,FIL-300-TFW,FIL-TERM,AWR iFilter - Advanced Synthesis Solution; Term/Floating RID#17663,000-2300-00,EUR,50,1400.00,1384.06,797.00,Normal
Invoice,7049TI-7,10/1/2011,,562,SAAB Avitronics.,Sweden,EUROPE,XEM-100-TFW,XEM-TERM,AXIEM FS: 3D Planar EM - Direct & Fast Solver; Term/Floating RID#17664,000-2300-00,EUR,50,3150.00,3114.13,1793.50,Normal
Invoice,7049TI-7,10/1/2011,,562,SAAB Avitronics.,Sweden,EUROPE,TSW-100-TFW,TSW-TERM,TestWave Instrumentation Interface; Term/FloatingRID#17665,000-2300-00,EUR,1,700.00,692.50,7.50,Normal
Invoice,7050TI-7,10/1/2011,,2042,SAAB Bofors Dynamics,SWEDEN,EUROPE,MWO-229-TFW,MWO-TERM,MWO for MMIC & Modules; Term/Floating RID#17672,000-2300-00,EUR,10,6300.00,6100.58,1994.20,Normal
Invoice,7050TI-7,10/1/2011,,2042,SAAB Bofors Dynamics,SWEDEN,EUROPE,APL-200-TFW,APL-TERM,APLAC Time-Domain & Multi-Rate Harmonic Balance; Term/Floating RID#17673,000-2300-00,EUR,10,3150.00,3050.29,997.10,Normal
