spid	artist	album	song	taglist
7CKLZEwboCy2juXMLsAHFt	Forever The Sickest Kids	Underdog Alma Mater	Whoa Oh! (Me vs Everyone)	spotify:cycling
1wBP9Rb9AXHrMbt2cEBTSy	David Lee Roth	A Little Ain't Enough	It's Showtime!	spotify:cycling
4vMAlseGdICfrNr3RVZoAQ	The Downtown Fiction	Let's Be Animals	Wake Up	spotify:cycling
1LL9ZjzFCxpmrOBrd4WeD4	Big Time Rush	Elevate	Show Me	spotify:cycling
4AnIV3TTR93t6mh7luk0wd	blink-182	Greatest Hits	Another Girl Another Planet	spotify:cycling
7icZSBddWmFooQjPw0JQ9i	The Acro-brats	...Go Down Swinging!	Damaged Goods	spotify:cycling
621txFhXgaesfBACz2zC7u	The Starting Line	Direction	Birds	spotify:cycling
2bnWj5U2H33j08IEwb7ZxE	Relient K	The Anatomy of the Tongue In Cheek	Sadie Hawkins Dance	spotify:cycling
24w0eusbTsyhPkJj72LUIm	Carrie Underwood	Blown Away	Cupid's Got A Shotgun	spotify:cycling
50HLtOrVjSEKFGhia1IPZx	Orianthi	Believe (II)	Addicted To Love	spotify:cycling
4HYFXdqfrRQJcLHfKfFhje	Stellar Kart	We Can't Stand Sitting Down	Always Waiting	spotify:cycling
1fBl642IhJOE5U319Gy2Go	Neon Trees	Habits	Animal	spotify:cycling
2VanQfYHhge2aa1kNPHon2	Smash Mouth	All Star Smash Hits	Beer Goggles	spotify:cycling
6LS6pltO7YBgjwNVhxMwtp	P!nk	The Truth About Love	Blow Me (One Last Kiss)	spotify:cycling
1FQL1LBxSS0DCa4dczNVf1	Plain White T's	Hey There Delilah	Down the Road	spotify:cycling
4zhMv15FSlXJrKinBbYSXA	The Upper Crust	Cream Of The Crust	Eureka - I've Found Love	spotify:cycling
4aICBAAFGF3pLSZDlmsMj9	Paramore	RIOT!	Fences	spotify:cycling
1y8fcrAzJpSsjTgMQPT0ia	Yellowcard	Paper Walls	Fighting	spotify:cycling
4TmWB4wOo3iaVc9lAyYQUF	Hellogoodbye	Would It Kill You? (UK/Europe Deluxe Edition)	Finding Something To Do	spotify:cycling
6XOZ7l5IjwNisd6JfDKFmb	Relient K	Five Score and Seven Years Ago	I'm Taking You With Me	spotify:cycling
28pcc7qhdvpFVElCXTgBXF	Journey	Escape	Keep on Runnin'	spotify:cycling
1NURqq6gvMVAf1AuBenjRW	Plain White T's	All That We Needed	Last Call	spotify:cycling
5pSUEzAR3MQe5OaXLktAEt	Plain White T's	All That We Needed	Lazy Day Afternoon	spotify:cycling
6crR8wriDVlVmgE8Ti8zvg	New Found Glory	Radiosurgery	Map Of Your Body	spotify:cycling
4r7kzvTDPE9WSZBd6IeMKh	Little Feat	Live At The Rams Head	Shake Me Up	spotify:cycling
4l5T1jpvgDDhuX6sMZShEq	Orianthi	Believe (II)	Shut Up & Kiss Me	spotify:cycling
61YQyPljTxoFtTxX6FAh8A	Marianas Trench	Masterpiece Theatre	Sing Sing	spotify:cycling
41laf9rvavteeNzk1An3vl	Marianas Trench	Marianas Trench	Stutter	spotify:cycling
3qYVWxnKN51r0mbQPuAp1v	The Friday Night Boys	Off The Deep End	Stuttering	spotify:cycling
3OlhE2EGTjcCcMRoaIRsCo	The Downtown Fiction	Let's Be Animals	Stoned	spotify:cycling
7csx5NhQOHeVvJtjnHzY6W	Simple Plan	Simple Plan	Time To Say Goodbye	spotify:cycling
6dOjqWK48qsyRsJW4xu9jR	Fm Static	What Are You Waiting For?	Something To Believe In	spotify:cycling
4XRZbiVdsA5qv6f6qP70lS	The Ready Set	I'm Alive, I'm Dreaming (Deluxe)	Love Like Woe	spotify:cycling
7d2Ah9Sl3dl6CBYRsVDFzs	Hawk Nelson	Made	A Million Miles Away	spotify:cycling
3HgzjJO64ki9otFY0hqepG	The Ready Set	The Bad & The Better	Freakin' Me Out	spotify:cycling
4RtI4NxSbTIxCMIjERsQ83	The Ready Set	The Bad & The Better	Higher	spotify:cycling
7cmu369bIyXA9M6jABDsMS	Mary Lambert	Secrets	Secrets	spotify:cycling
57MOpbjOIoWMZnstWOtfm6	5 Seconds Of Summer	5 Seconds Of Summer	Don't Stop	spotify:cycling
6wYLKMizpz1PAg4ksvt8Vk	Plain White T's	Stop	Fireworks	spotify:cycling
005lwxGU1tms6HGELIcUv9	Katy Perry	One Of The Boys	I Kissed a Girl	spotify:cycling
1z2RYgAL2fPmjHUf5zRMTU	Katy Perry	One Of The Boys	One Of The Boys	spotify:cycling
1aCaRZIrxh3FYEFnglKl87	Plain White T's	All That We Needed	What More Do You Want	spotify:cycling
0m4k2n3WKAqYSePDbaMcGW	Danger Is My Middle Name	Sink Or Swim	Sink Or Swim	spotify:cycling
4guw2UBr08BScmjykWo17v	P!nk	Try This	Humble Neighborhoods	spotify:cycling
1ISIXUr3oocCkOMAtIkHMS	The Downtown Fiction	The Downtown Fiction	Your Voice - EP Version	spotify:cycling
3fcg1osv1qpu8kVI0eutZk	The Summer Set	Everything's Fine	Love To You	spotify:cycling
