spid	artist	album	song	taglist
2X0qcU9gIs4UkovtlS6RMn	Jack Johnson	From Here To Now To You	Shot Reverse Shot	spotify:2013
0Etdshb7TsPs3kPII6V0cR	Jack Johnson	From Here To Now To You	Tape Deck	spotify:2013
43O7yOtq0lyeOP5KE3uUzb	Marianas Trench	Fix Me	September	spotify:2013
1jHD7udogrV5vAYLNV8kwO	Keith Urban	Fuse (Deluxe Edition)	Somewhere In My Car	spotify:2013
5Net7uzpcqkJtOwR22onye	Keith Urban	Fuse (Deluxe Edition)	We Were Us	spotify:2013
7jcpB7QW39JlgHwTtJycWP	My Favorite Highway	How To Call A Bluff	Go	spotify:2013
7CZ0k0S0M6yZ93y3LpwGLV	My Favorite Highway	How To Call A Bluff	Say So	spotify:2013
7bnDCe4AN4l9jgxTUwzJ8u	My Favorite Highway	How To Call A Bluff	Getaway Car	spotify:2013
2pP1bs8SV6k6sry51gI7qb	My Favorite Highway	How To Call A Bluff	Dreamer	spotify:2013
0FmkJ8w5hwheXeU0vYiMT8	My Favorite Highway	How To Call A Bluff	Bittersweet Life	spotify:2013
2erQo3ccPsB6HwLCqmGi5N	The Band Perry	Pioneer	I'm A Keeper	spotify:2013
0ZUVBMdmRy2NoaOMSsFQN5	The Band Perry	Pioneer	Back To Me Without You	spotify:2013
3WbphvawbMZ8FyqDxYGdSQ	3 Doors Down	Away From The Sun	When I'm Gone	spotify:2013
3THdexHRmED4euIY91Zrxc	3 Doors Down	Away From The Sun	Away From The Sun	spotify:2013
3NLrRZoMF0Lx6zTlYqeIo4	3 Doors Down	Away From The Sun	Here Without You	spotify:2013
7uPQU7uKvsZZ7T9XnpBpFg	Rob Thomas	cradlesong	Someday	spotify:2013
0BH6xJFHxS1Uwdr8MBiOC4	The Goo Goo Dolls	Magnetic (Deluxe Version)	When The World Breaks Your Heart	spotify:2013
5SPz6FvYXnsLZHXApAv8vS	The Goo Goo Dolls	Magnetic (Deluxe Version)	Caught In The Storm	spotify:2013
3yTIgt03ii9EX4FCTeiqqI	The Goo Goo Dolls	Magnetic (Deluxe Version)	Happiest Of Days	spotify:2013
0gbLfFlEyVHiKzlZIb0gce	Matchbox Twenty	Exile On Mainstream	How Far We've Come	spotify:2013
1whPstO6UWXpZoy2MxhSAw	Matchbox Twenty	More Than You Think You Are	Cold	spotify:2013
2Iak5hADjGS4hNgJGm8Q2I	Matchbox Twenty	More Than You Think You Are	Hand Me Down	spotify:2013
24fMVsiXXPNuCHRlW88ZoU	Matchbox Twenty	More Than You Think You Are	Could I Be You	spotify:2013
2mp5NtfuneZoxCZa8GzlhD	Matchbox Twenty	More Than You Think You Are	Downfall	spotify:2013
09VxMdg6MikgAHmnNeiAJ8	Matchbox Twenty	More Than You Think You Are	You're So Real	spotify:2013
1jif4tafd4C9QyLS9ENchU	Matchbox Twenty	Yourself Or Someone Like You	Girl Like That	spotify:2013
64XSAtXpCJUmadm3fkpH4z	Matchbox Twenty	Yourself Or Someone Like You	Back 2 Good	spotify:2013
2HXDYLKetrIFjHhHAABnoM	Matchbox Twenty	Yourself Or Someone Like You	Damn	spotify:2013
3DrzeqjTR3O9zCBdeSRoYu	Matchbox Twenty	Yourself Or Someone Like You	Argue	spotify:2013
3T4XoaK3RZ3XTEDgeZRV1T	Matchbox Twenty	Yourself Or Someone Like You	Kody	spotify:2013
6B6P5Gi3jEA8srtXTsXgt5	The Spill Canvas	Formalities	Good Graces, Bad Influence	spotify:2013
11t0HdcJ8kDIN76li2zpj4	The Spill Canvas	Formalities	The Bone	spotify:2013
0u6tTjgIY9F5x3uBKNVUEE	The Spill Canvas	Formalities	Crash Course	spotify:2013
0WVGchP8hyFnGdowlOhabo	The Spill Canvas	Formalities	Don't Let Your Enemies Become Friends	spotify:2013
0W5DIOhAqKejX1vwpOzKhQ	Relient K	Collapsible Lung	Don't Blink	spotify:2013
1a550RbKtJChbgvXWhfswH	Chris Wallace	Push Rewind	Remember When (Push Rewind)	spotify:2013
7LZdrE0z5DGsVLYifi6Zxq	Chris Wallace	Push Rewind	Don't Mind If I Do	spotify:2013
4A16CRSBPvvewbhhZYLjtP	Chris Wallace	Push Rewind	Hurricane	spotify:2013
2rlmGrNuo5a8vmHifRFvJz	Chris Wallace	Push Rewind	Best Mistake	spotify:2013
2XcnLxKwyg9q4syBJKh9aT	Chris Wallace	Push Rewind	Time Bomb (Walk Away)	spotify:2013
7xuhVUJmBpHR276Yc7AsgW	Sum 41	Underclass Hero	Walking Disaster	spotify:2013
4KtFCX32H4sBAIlRL4G96x	Sum 41	Underclass Hero	Dear Father	spotify:2013
2cAigIHxDljQdgPzirHFrA	Forever The Sickest Kids	J.A.C.K.	My Friends Save Me	spotify:2013
6kkodIHDpRFrlVWSOdBddB	Forever The Sickest Kids	J.A.C.K.	Cross My Heart	spotify:2013
1G8jae4jD8mwkXdodqHsBM	The Goo Goo Dolls	A Boy Named Goo	Name	spotify:2013
2dnncNWW2qbUiFRcc9an9p	Good Charlotte	The Young and The Hopeless	Wondering	spotify:2013
