spid	artist	album	song	taglist
5McmaMlnbBjIQD1yn56KG5	5 Seconds Of Summer	5 Seconds Of Summer (Deluxe)	Kiss Me Kiss Me	spotify:owned
3yfVjCrDVoxs0Ui4SVtOLr	5 Seconds Of Summer	5 Seconds Of Summer	Good Girls	spotify:owned
0DkLK4q2SxFdZJhkyNvrvS	5 Seconds Of Summer	5 Seconds Of Summer	18	spotify:owned
5ZndIlfBM43CegOSMwAMc9	The Wanted	Battleground (Deluxe Edition)	Lightning	spotify:owned
58wDAVnV32PSR2iP2djJhS	American Authors	Oh, What A Life	Heart Of Stone	spotify:owned
2HP8EOfdW5ALuWuSZLswWK	Plain White T's	Every Second Counts	Our Time Now	spotify:owned
7Kdy6btK7L0XkLyCtQBnMd	American Authors	American Authors	Hit It	spotify:owned
4kbj5MwxO1bq9wjT5g9HaA	Walk the Moon	TALKING IS HARD	Shut Up and Dance	spotify:owned
3BuPop8SzLG2Q88TJcFAjp	Sam Hunt	Montevallo	Raised On It	spotify:owned
3wx2kQWPn9p5UppQbNhPAk	Sam Hunt	Montevallo	Leave The Night On	spotify:owned
06s3Z0bqUVs3uWtKSBKAs5	Rooney	Eureka	The Hunch	spotify:owned
6TRlfPQEgJXPUnApu90M2A	Rascal Flatts	Unstoppable	She'd Be California	spotify:owned
6LCbPOnvjxSaRnNBKH1JII	P!nk	Can't Take Me Home	There You Go	spotify:owned
6wMeMFLaD4NCxXzkXgkuM1	Olly Murs	Wrapped Up	Wrapped Up	spotify:owned
573latfTMO7SpGtStVrQx5	New Politics	A Bad Girl In Harlem	Harlem	spotify:owned
2eQOMQkStoRUQyq6HGh1iG	The Mowgli's	Waiting For The Dawn	San Francisco	spotify:owned
5x9VIW2fS21JMswOt6AORI	MKTO	Classic	Classic	spotify:owned
70iPeklfJJ5wDSlkGstJ2l	Matt White	Best Days	Anybody Else	spotify:owned
7tRQdzGdJ5KDhow1kYe69B	Matt Nathanson	Modern Love	Modern Love	spotify:owned
2eLplOs3tISvZMpdZmirUh	Mat Kearney	Young Love	Hey Mama	spotify:owned
77xgXc56h19AhTLKrWcijW	Kris Allen	Thank You Camellia (Deluxe Version)	Better With You	spotify:owned
3huV7eiNpaQlCB3LbZi9bB	The Kooks	Listen	Bad Habit	spotify:owned
30puKKdz2Y58qWFhIWg7u9	Kelley James	The Recent Future EP	Perfect To Me	spotify:owned
64nvpxQKB63Aj1t7Gr3IxB	Kelley James	In a City That Has No Name	Love Ain't Easy	spotify:owned
